"Annex 3 ? J. Reported malaria deaths, 2010?2018,,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,"
"WHO region
Country/area,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
"AFRICAN,,,,,,,,,,,,,,,,,,,"
"Algeria,2,1,?,?,?,?,?,?,0,0,1,0,0,0,0,0,0,0,0"
"Angola,""9,510"",""9,473"",""14,434"",""38,598"",""12,459"",""13,768"",""10,220"",""9,812"",""9,465"",""10,530"",""8,114"",""6,909"",""5,736"",""7,300"",""5,714"",""7,832"",""15,997"",""13,967"",""11,814"""
"Benin,?,468,707,560,944,322,""1,226"",""1,290"",918,""1,375"",964,""1,753"",""2,261"",""2,288"",""1,869"",""1,416"",""1,646"",""2,182"",""2,138"""
"Botswana,?,29,23,18,19,11,40,6,12,6,8,8,3,7,22,5,3,17,9"
"Burkina Faso,?,""4,233"",""4,032"",""4,860"",""4,205"",""5,224"",""8,083"",""6,472"",""7,834"",""7,982"",""9,024"",""7,001"",""7,963"",""6,294"",""5,632"",""5,379"",""3,974"",""4,144"",""4,294"""
"Burundi,691,417,483,425,689,776,434,167,595,""1,183"",""2,677"",""2,233"",""2,263"",""3,411"",""2,974"",""3,799"",""5,853"",""4,414"",""2,481"""
"Cabo Verde,?,0,2,4,4,2,8,2,2,2,1,1,0,0,1,0,1,1,0"
"Cameroon,?,?,?,?,?,836,930,""1,811"",""7,673"",""4,943"",""4,536"",""3,808"",""3,209"",""4,349"",""4,398"",""3,440"",""2,639"",""3,195"",""3,256"""
"Central African Republic,439,535,?,417,859,668,865,578,456,667,526,858,""1,442"",""1,026"",635,""1,763"",""2,668"",""3,689"",""1,292"""
"Chad,712,957,98,""1,021"",13,558,837,617,""1,018"",221,886,""1,220"",""1,359"",""1,881"",""1,720"",""1,572"",""1,686"",""2,088"",""1,948"""
"Comoros,?,?,?,?,28,92,56,20,47,?,53,19,17,15,0,1,0,3,8"
"Congo,?,?,?,?,?,?,?,113,143,116,-,892,623,""2,870"",271,435,733,229,131"
"C“te d'Ivoire,?,?,?,?,?,?,?,797,""1,249"",""18,156"",""1,023"",""1,389"",""1,534"",""3,261"",""4,069"",""2,604"",""3,340"",""3,222"",""3,133"""
"Democratic Republic of the Congo,""3,856"",416,""2,152"",989,""13,613"",""15,322"",""12,970"",""14,372"",""17,940"",""21,168"",""23,476"",""23,748"",""21,601"",""30,918"",""25,502"",""39,054"",""33,997"",""27,458"",""18,030"""
"Equatorial Guinea,?,?,?,?,?,?,?,?,4,23,30,52,77,66,-,28,109,-,-"
"Eritrea,?,133,86,79,24,49,47,42,19,23,27,12,30,6,15,12,21,8,5"
"Eswatini,?,62,46,30,28,17,27,17,10,13,8,1,3,4,4,5,3,20,2"
"Ethiopia,?,""1,681"",""1,607"",""2,138"",""3,327"",""1,086"",""1,357"",991,""1,169"",""1,121"",""1,581"",936,""1,621"",358,213,662,510,356,158"
"Gabon,""2,016"",""1,693"",""1,141"",692,466,353,238,216,156,197,182,74,134,273,159,309,101,218,591"
"Gambia,?,275,259,192,153,426,150,424,403,240,151,440,289,262,170,167,79,54,60"
"Ghana,""6,108"",""1,717"",""2,376"",""2,103"",""1,575"",""2,037"",""3,125"",""4,622"",""3,889"",""3,378"",""3,859"",""3,259"",""2,855"",""2,506"",""2,200"",""2,137"",""1,264"",599,428"
"Guinea,626,517,440,586,528,490,?,472,441,586,735,743,979,108,""1,067"",846,867,""1,174"",""1,267"""
"Guinea-Bissau,?,635,780,""1,137"",565,565,507,370,487,369,296,472,370,418,357,477,191,296,244"
"Kenya,""48,767"",""48,286"",""47,697"",""51,842"",""25,403"",""44,328"",""40,079"",?,?,?,""26,017"",713,785,360,472,""15,061"",603,-,-"
"Liberia,?,?,?,?,?,41,877,310,345,""1,706"",""1,422"",-,""1,725"",""1,191"",""2,288"",""1,379"",""1,259"",758,-"
"Madagascar,591,742,575,817,715,699,441,428,355,348,427,398,552,641,551,841,443,370,927"
"Malawi,?,""3,355"",""5,775"",""4,767"",""3,457"",""5,070"",""6,464"",""7,486"",""8,048"",""8,915"",""8,206"",""6,674"",""5,516"",""3,723"",""4,490"",""3,799"",""4,000"",""3,613"",""2,967"""
"Mali,748,562,826,""1,309"",""1,012"",""1,285"",""1,914"",""1,782"",""1,227"",""2,331"",""3,006"",""2,128"",""1,894"",""1,680"",""2,309"",""1,544"",""1,344"",""1,050"",""1,001"""
"Mauritania,?,?,?,?,?,?,67,142,?,91,60,66,106,46,19,39,315,67,-"
"Mayotte,?,?,?,?,?,?,?,?,?,?,0,0,0,0,0,0,0,-,-"
"Mozambique,?,?,?,?,?,?,?,""5,816"",""4,424"",""3,747"",""3,354"",""3,086"",""2,818"",""2,941"",""3,245"",""2,467"",""1,685"",""1,114"",968"
"Namibia,?,""1,728"",""1,504"",""1,106"",""1,185"",""1,325"",571,181,152,68,63,36,4,21,61,45,65,104,82"
"Niger,""1,244"",""2,366"",""2,769"",""2,248"",""1,333"",""2,060"",""1,150"",""1,358"",""2,461"",""2,159"",""3,929"",""2,802"",""2,825"",""2,209"",""2,691"",""2,778"",""2,226"",""2,316"",""3,576"""
"Nigeria,?,""4,317"",""4,092"",""5,343"",""6,032"",""6,494"",""6,586"",""10,289"",""8,677"",""7,522"",""4,238"",""3,353"",""7,734"",""7,878"",""6,082"",-,-,-,-"
"Rwanda,?,""4,275"",""3,167"",""2,679"",""2,362"",""2,581"",""2,486"",""1,772"",566,809,670,380,459,409,496,516,715,376,341"
"Sao Tome and Principe,254,248,321,193,169,85,26,3,16,23,14,19,7,11,0,0,1,1,0"
"Senegal,""1,275"",""1,515"",""1,226"",""1,602"",""1,524"",""1,587"",""1,678"",""1,935"",741,574,553,472,649,815,500,526,325,284,555"
"Sierra Leone,?,328,461,157,126,50,90,324,871,""1,734"",""8,188"",""3,573"",""3,611"",""4,326"",""2,848"",""1,107"",""1,345"",""1,298"",""1,949"""
"South Africa,424,81,96,142,88,63,87,37,43,45,83,54,72,105,174,110,34,301,69"
"South Sudan1,?,?,?,?,?,?,?,?,263,254,""1,053"",406,""1,321"",""1,311"",-,-,-,""3,483"",""1,191"""
"Togo,?,""1,394"",""1,661"",""1,130"",""1,183"",""1,024"",819,""1,236"",""2,663"",""1,556"",""1,507"",""1,314"",""1,197"",""1,361"",""1,205"",""1,205"",847,995,905"
"Uganda,?,?,?,?,?,?,""4,252"",""7,003"",""2,372"",""6,296"",""8,431"",""5,958"",""6,585"",""7,277"",""5,921"",""6,100"",""5,635"",""5,111"",""3,302"""
"United Republic of Tanzania,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,""16,776"",""15,867"",""11,806"",""7,820"",""8,528"",""5,373"",""6,313"",""5,046"",""3,685"",""2,753"""
"Mainland,?,838,441,""14,943"",""19,547"",""18,075"",""20,825"",""12,529"",""12,405"",""16,696"",""15,819"",""11,799"",""7,812"",""8,526"",""5,368"",""6,311"",""5,045"",""3,684"",""2,747"""
"Zanzibar,379,390,374,308,312,247,137,64,92,80,48,7,8,2,5,2,1,1,6"
"Zambia,?,""9,369"",""9,021"",""9,178"",""8,289"",""7,737"",""6,484"",""6,183"",""3,781"",""3,862"",""4,834"",""4,540"",""3,705"",""3,548"",""3,257"",""2,389"",""1,827"",""1,425"",""1,209"""
"Zimbabwe,?,?,""1,844"",""1,044"",""1,809"",""1,916"",802,401,232,108,255,451,351,352,406,200,351,527,192"
"AMERICAS,,,,,,,,,,,,,,,,,,,"
"Argentina2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Belize,0,0,0,?,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0"
"Bolivia (Plurinational State of),11,0,4,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0"
"Brazil,245,142,95,104,102,123,110,93,68,85,76,70,60,40,36,35,35,34,44"
"Colombia,124,168,162,118,126,87,77,68,54,28,42,23,24,10,17,18,36,19,9"
"Costa Rica,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0"
"Dominican Republic,6,17,11,12,16,16,10,17,11,14,15,10,8,5,4,3,1,1,1"
"Ecuador,66,84,64,46,37,22,9,8,5,6,0,0,0,0,0,0,0,0,0"
"El Salvador3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"French Guiana,0,3,2,5,1,2,5,5,2,1,1,2,2,3,0,0,0,0,-"
"Guatemala,0,0,0,0,2,4,2,3,0,0,0,0,0,1,1,1,0,0,0"
"Guyana,29,30,28,44,38,33,20,20,11,20,24,36,35,14,11,12,13,11,6"
"Haiti,16,70,77,109,24,29,32,28,17,7,8,5,6,10,9,15,13,12,12"
"Honduras,0,0,0,0,0,1,0,2,2,1,3,2,1,1,2,0,0,1,1"
"Mexico,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Nicaragua,4,2,8,7,1,6,1,0,0,0,1,1,2,0,0,1,2,1,3"
"Panama,1,1,2,4,2,1,1,1,1,0,1,0,1,0,0,0,0,0,0"
"Paraguay2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Peru,20,25,12,9,6,4,6,2,2,2,0,1,7,4,4,5,7,10,4"
"Suriname,24,23,15,18,7,1,1,1,0,0,1,1,0,1,1,0,0,1,0"
"Venezuela (Bolivarian Republic of),24,28,23,40,35,17,11,16,9,11,18,16,10,6,5,8,105,333,257"
"EASTERN MEDITERRANEAN,,,,,,,,,,,,,,,,,,,"
"Afghanistan,?,?,?,?,?,0,?,25,46,32,22,40,36,24,32,49,47,10,1"
"Djibouti,?,?,?,?,?,?,29,1,?,0,0,0,0,17,28,23,5,-,-"
"Iran (Islamic Republic of),4,2,2,5,1,1,1,3,3,?,0,0,0,0,0,0,0,0,0"
"Pakistan,?,?,?,?,?,52,9,24,?,?,-,4,260,244,56,34,33,113,102"
"Saudi Arabia,?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Somalia,?,?,8,54,79,15,58,45,49,45,6,5,10,23,14,27,13,20,31"
"Sudan,""2,162"",""2,252"",""2,125"",""2,479"",""1,814"",""1,789"",""1,193"",""1,254"",""1,125"",""1,142"",""1,023"",612,618,685,823,868,698,""1,534"",""3,129"""
"Yemen,?,?,?,?,?,?,73,?,?,38,92,75,72,55,23,14,65,37,57"
"EUROPEAN,,,,,,,,,,,,,,,,,,,"
"Armenia2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Azerbaijan3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Georgia3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Kyrgyzstan2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Tajikistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Turkey,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,0,0,0"
"Turkmenistan2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"Uzbekistan2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0"
"SOUTH-EAST ASIA,,,,,,,,,,,,,,,,,,,"
"Bangladesh,484,470,598,574,505,501,508,228,154,47,37,36,11,15,45,9,17,13,7"
"Bhutan,15,14,11,14,7,5,7,2,2,4,2,1,1,0,0,0,0,0,0"
"Democratic People's Republic of Korea,?,?,?,?,?,?,?,0,0,0,0,0,0,0,0,0,0,0,0"
"India,892,""1,015"",973,""1,006"",949,963,""1,708"",""1,311"",""1,055"",""1,144"",""1,018"",754,519,440,562,384,331,194,96"
"Indonesia,833,?,?,?,508,88,494,?,669,900,432,388,252,385,217,157,161,47,34"
"Myanmar,""2,556"",""2,814"",""2,634"",""2,476"",""1,982"",""1,707"",""1,647"",""1,261"",""1,087"",972,788,581,403,236,92,37,21,30,19"
"Nepal,?,1,3,5,7,10,42,3,?,8,6,2,0,0,0,0,3,0,0"
"Sri Lanka2,77,52,30,4,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0"
"Thailand,625,424,361,204,230,161,113,97,101,70,80,43,37,47,38,33,27,15,8"
"Timor-Leste,?,?,?,?,65,71,68,60,33,53,58,16,6,3,1,0,0,0,0"
"WESTERN PACIFIC,,,,,,,,,,,,,,,,,,,"
"Cambodia,608,476,457,492,382,296,396,241,209,279,151,94,45,12,18,10,3,1,0"
"China3,31,27,42,52,31,48,37,18,23,10,19,33,0,0,0,0,0,0,0"
"Lao People's Democratic Republic,350,242,195,187,105,77,21,14,11,5,24,17,44,28,4,2,1,2,6"
"Malaysia4,35,46,38,21,35,33,21,15,20,23,13,12,12,10,4,4,2,10,12"
"Papua New Guinea,617,562,647,537,619,725,668,559,628,604,616,523,381,307,203,163,306,273,216"
"Philippines,536,439,71,162,167,145,124,73,56,24,30,12,16,12,10,20,7,3,1"
"Republic of Korea,0,0,0,0,0,0,0,1,0,1,1,2,0,0,0,0,0,0,0"
"Solomon Islands,38,55,61,71,51,38,12,15,21,53,34,19,18,18,23,13,20,27,7"
"Vanuatu,3,4,13,14,3,5,1,5,4,2,1,1,0,0,0,0,0,0,0"
"Viet Nam,142,91,50,50,34,18,41,20,25,26,21,14,8,6,6,3,2,5,1"
",,,,,,,,,,,,,,,,,,,"
"Regional Summary ,""2,000"",""2,001"",""2,002"",""2,003"",""2,004"",""2,005"",""2,006"",""2,007"",""2,008"",2009,2010,2011,2012,2013,2014,2015,2016,2017,2018"
"African,""77,642"",""103,036"",""110,516"",""152,657"",""114,045"",""137,269"",""136,955"",""102,490"",""103,664"",""131,223"",""150,335"",""104,057"",""104,105"",""116,354"",""99,380"",""118,362"",""103,748"",""94,212"",""73,276"""
"Region of the Americas,570,593,503,518,401,346,286,264,182,176,190,167,156,95,91,98,212,423,337"
"Eastern Mediterranean,""2,166"",""2,254"",""2,135"",""2,538"",""1,894"",""1,857"",""1,363"",""1,352"",""1,223"",""1,257"",""1,143"",736,996,""1,048"",976,""1,015"",861,""1,714"",""3,320"""
"European,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0"
"South-East Asia,""5,482"",""4,790"",""4,610"",""4,283"",""4,254"",""3,506"",""4,588"",""2,963"",""3,101"",""3,198"",""2,421"",""1,821"",""1,229"",""1,126"",955,620,560,299,164"
"Western Pacific,""2,360"",""1,942"",""1,574"",""1,586"",""1,427"",""1,385"",""1,321"",961,997,""1,027"",910,727,524,393,268,215,341,321,243"
"Total,""88,220"",""112,615"",""119,338"",""161,582"",""122,021"",""144,363"",""144,513"",""108,030"",""109,167"",""136,881"",""154,999"",""107,508"",""107,010"",""119,016"",""101,670"",""120,310"",""105,722"",""96,969"",""77,340"""
",,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,"
",,,,,,,,,,,,,,,,,,,"
"1 In May 2013, South Sudan was reassigned to the WHO African Region (WHA resolution 66.21, https://apps.who.int/gb/ebwha/pdf_files/WHA66/A66_R21-en.pdf).,,,,,,,,,,,,,,,,,,,"
"2 Certified malaria free countries are included in this listing for historical purposes.,,,,,,,,,,,,,,,,,,,"
"3 There is no local transmission.,,,,,,,,,,,,,,,,,,,"
"4 In Malaysia, there is no local transmission of human malaria in 2018. Malaria deaths are imported non-human malaria.,,,,,,,,,,,,,,,,,,,"
"Note: Deaths reported before 2000 can be probable and confirmed or only confirmed deaths depending on the country. Indigenous malaria deaths are in italics.,,,,,,,,,,,,,,,,,,,"
